[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.446 7.53737e-05 26.0544 269937 403.123
0.447 7.53667e-05 26.0568 269937 403.123
0.448 7.53597e-05 26.0592 269937 403.123
0.449 7.53528e-05 26.0616 269937 403.123
0.45 7.53458e-05 26.0641 269937 403.123
0.451 7.53388e-05 26.0665 269936 403.123
0.452 7.53319e-05 26.0689 269936 403.123
0.453 7.53249e-05 26.0713 269936 403.123
0.454 7.53179e-05 26.0737 269936 403.123
0.455 7.5311e-05 26.0762 269936 403.123
0.456 7.5304e-05 26.0786 269936 403.123
0.457 7.5297e-05 26.081 269936 403.123
0.458 7.52901e-05 26.0834 269935 403.122
0.459 7.52831e-05 26.0859 269935 403.122
0.46 7.52761e-05 26.0883 269935 403.122
0.461 7.52692e-05 26.0907 269935 403.122
0.462 7.52622e-05 26.0931 269935 403.122
0.463 7.52552e-05 26.0956 269935 403.122
0.464 7.52483e-05 26.098 269935 403.122
0.465 7.52413e-05 26.1004 269934 403.122
0.466 7.52343e-05 26.1028 269934 403.122
0.467 7.52274e-05 26.1053 269934 403.122
0.468 7.52204e-05 26.1077 269934 403.122
0.469 7.52135e-05 26.1101 269934 403.122
0.47 7.52065e-05 26.1125 269934 403.122
0.471 7.51995e-05 26.115 269934 403.122
0.472 7.51926e-05 26.1174 269933 403.122
0.473 7.51856e-05 26.1198 269933 403.122
0.474 7.51787e-05 26.1222 269933 403.121
0.475 7.51717e-05 26.1247 269933 403.121
0.476 7.51647e-05 26.1271 269933 403.121
0.477 7.51578e-05 26.1295 269933 403.121
0.478 7.51508e-05 26.132 269932 403.121
0.479 7.51439e-05 26.1344 269932 403.121
0.48 7.51369e-05 26.1368 269932 403.121
0.481 7.513e-05 26.1392 269932 403.121
0.482 7.5123e-05 26.1417 269932 403.121
0.483 7.51161e-05 26.1441 269932 403.121
0.484 7.51091e-05 26.1465 269932 403.121
0.485 7.51022e-05 26.149 269931 403.121
0.486 7.50952e-05 26.1514 269931 403.121
0.487 7.50883e-05 26.1538 269931 403.121
0.488 7.50813e-05 26.1563 269931 403.121
0.489 7.50744e-05 26.1587 269931 403.121
0.49 7.50674e-05 26.1611 269931 403.12
0.491 7.50605e-05 26.1635 269931 403.12
0.492 7.50535e-05 26.166 269930 403.12
0.493 7.50466e-05 26.1684 269930 403.12
0.494 7.50396e-05 26.1708 269930 403.12
0.495 7.50327e-05 26.1733 269930 403.12
0.496 7.50257e-05 26.1757 269930 403.12
0.497 7.50188e-05 26.1781 269930 403.12
0.498 7.50118e-05 26.1806 269930 403.12
0.499 7.50049e-05 26.183 269929 403.12
0.5 7.49979e-05 26.1854 269929 403.12
0.501 7.4991e-05 26.1879 269929 403.12
0.502 7.49841e-05 26.1903 269929 403.12
0.503 7.49771e-05 26.1927 269929 403.12
0.504 7.49702e-05 26.1952 269929 403.12
0.505 7.49632e-05 26.1976 269928 403.119
0.506 7.49563e-05 26.2001 269928 403.119
0.507 7.49494e-05 26.2025 269928 403.119
0.508 7.49424e-05 26.2049 269928 403.119
0.509 7.49355e-05 26.2074 269928 403.119
0.51 7.49285e-05 26.2098 269928 403.119
0.511 7.49216e-05 26.2122 269928 403.119
0.512 7.49147e-05 26.2147 269927 403.119
0.513 7.49077e-05 26.2171 269927 403.119
0.514 7.49008e-05 26.2196 269927 403.119
0.515 7.48939e-05 26.222 269927 403.119
0.516 7.48869e-05 26.2244 269927 403.119
0.517 7.488e-05 26.2269 269927 403.119
0.518 7.48731e-05 26.2293 269927 403.119
0.519 7.48661e-05 26.2317 269926 403.119
0.52 7.48592e-05 26.2342 269926 403.119
0.521 7.48523e-05 26.2366 269926 403.118
0.522 7.48453e-05 26.2391 269926 403.118
0.523 7.48384e-05 26.2415 269926 403.118
0.524 7.48315e-05 26.2439 269926 403.118
0.525 7.48245e-05 26.2464 269926 403.118
0.526 7.48176e-05 26.2488 269925 403.118
0.527 7.48107e-05 26.2513 269925 403.118
0.528 7.48038e-05 26.2537 269925 403.118
0.529 7.47968e-05 26.2561 269925 403.118
0.53 7.47899e-05 26.2586 269925 403.118
0.531 7.4783e-05 26.261 269925 403.118
0.532 7.47761e-05 26.2635 269924 403.118
0.533 7.47691e-05 26.2659 269924 403.118
0.534 7.47622e-05 26.2684 269924 403.118
0.535 7.47553e-05 26.2708 269924 403.118
0.536 7.47484e-05 26.2732 269924 403.118
0.537 7.47414e-05 26.2757 269924 403.117
0.538 7.47345e-05 26.2781 269924 403.117
0.539 7.47276e-05 26.2806 269923 403.117
0.54 7.47207e-05 26.283 269923 403.117
0.541 7.47137e-05 26.2855 269923 403.117
0.542 7.47068e-05 26.2879 269923 403.117
0.543 7.46999e-05 26.2904 269923 403.117
0.544 7.4693e-05 26.2928 269923 403.117
0.545 7.46861e-05 26.2953 269923 403.117
0.546 7.46792e-05 26.2977 269922 403.117
0.547 7.46722e-05 26.3001 269922 403.117
0.548 7.46653e-05 26.3026 269922 403.117
0.549 7.46584e-05 26.305 269922 403.117
0.55 7.46515e-05 26.3075 269922 403.117
0.551 7.46446e-05 26.3099 269922 403.117
0.552 7.46377e-05 26.3124 269921 403.116
0.553 7.46307e-05 26.3148 269921 403.116
0.554 7.46238e-05 26.3173 269921 403.116
0.555 7.46169e-05 26.3197 269921 403.116
0.556 7.461e-05 26.3222 269921 403.116
0.557 7.46031e-05 26.3246 269921 403.116
0.558 7.45962e-05 26.3271 269921 403.116
0.559 7.45893e-05 26.3295 269920 403.116
0.56 7.45824e-05 26.332 269920 403.116
0.561 7.45755e-05 26.3344 269920 403.116
0.562 7.45685e-05 26.3369 269920 403.116
0.563 7.45616e-05 26.3393 269920 403.116
0.564 7.45547e-05 26.3418 269920 403.116
0.565 7.45478e-05 26.3442 269920 403.116
0.566 7.45409e-05 26.3467 269919 403.116
0.567 7.4534e-05 26.3491 269919 403.116
0.568 7.45271e-05 26.3516 269919 403.115
0.569 7.45202e-05 26.354 269919 403.115
0.57 7.45133e-05 26.3565 269919 403.115
0.571 7.45064e-05 26.3589 269919 403.115
0.572 7.44995e-05 26.3614 269918 403.115
0.573 7.44926e-05 26.3638 269918 403.115
0.574 7.44857e-05 26.3663 269918 403.115
0.575 7.44788e-05 26.3687 269918 403.115
0.576 7.44719e-05 26.3712 269918 403.115
0.577 7.4465e-05 26.3737 269918 403.115
0.578 7.44581e-05 26.3761 269918 403.115
0.579 7.44512e-05 26.3786 269917 403.115
