[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
5.493 7.61898e-05 31.5785 269956 403.15
5.494 7.61801e-05 31.5825 269956 403.15
5.495 7.61703e-05 31.5865 269956 403.15
5.496 7.61606e-05 31.5906 269955 403.15
5.497 7.61508e-05 31.5947 269955 403.15
5.498 7.61411e-05 31.5987 269955 403.15
5.499 7.61313e-05 31.6028 269955 403.15
5.5 7.61214e-05 31.6069 269955 403.15
5.501 7.61116e-05 31.611 269954 403.15
5.502 7.61017e-05 31.6151 269954 403.15
5.503 7.60918e-05 31.6193 269954 403.15
5.504 7.60819e-05 31.6234 269954 403.15
5.505 7.6072e-05 31.6276 269954 403.15
5.506 7.6062e-05 31.6317 269953 403.15
5.507 7.60521e-05 31.6359 269953 403.15
5.508 7.60421e-05 31.64 269953 403.15
5.509 7.60321e-05 31.6442 269953 403.15
5.51 7.6022e-05 31.6484 269953 403.15
5.511 7.6012e-05 31.6526 269952 403.15
5.512 7.60019e-05 31.6568 269952 403.15
5.513 7.59918e-05 31.6611 269952 403.15
5.514 7.59817e-05 31.6653 269952 403.15
5.515 7.59715e-05 31.6695 269952 403.15
5.516 7.59614e-05 31.6738 269951 403.15
5.517 7.59512e-05 31.6781 269951 403.15
5.518 7.5941e-05 31.6823 269951 403.15
5.519 7.59308e-05 31.6866 269951 403.15
5.52 7.59205e-05 31.6909 269951 403.15
5.521 7.59103e-05 31.6952 269950 403.15
5.522 7.59e-05 31.6995 269950 403.15
5.523 7.58897e-05 31.7039 269950 403.15
5.524 7.58793e-05 31.7082 269950 403.15
5.525 7.5869e-05 31.7125 269950 403.15
5.526 7.58586e-05 31.7169 269949 403.15
5.527 7.58482e-05 31.7213 269949 403.15
5.528 7.58378e-05 31.7256 269949 403.15
5.529 7.58273e-05 31.73 269949 403.15
5.53 7.58169e-05 31.7344 269949 403.15
5.531 7.58064e-05 31.7388 269948 403.15
5.532 7.57959e-05 31.7432 269948 403.15
5.533 7.57854e-05 31.7477 269948 403.15
5.534 7.57748e-05 31.7521 269948 403.15
5.535 7.57643e-05 31.7565 269947 403.15
5.536 7.57537e-05 31.761 269947 403.15
5.537 7.57431e-05 31.7655 269947 403.15
