[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
8.12 7.84772e-06 458.634 148281 350.089
8.13 7.8295e-06 684.719 73947.7 297.185
8.14 7.81188e-06 683.764 74300.9 297.519
8.15 7.79486e-06 682.834 74645.5 297.843
8.16 7.77842e-06 681.931 74981.1 298.158
8.17 7.76258e-06 681.053 75307.6 298.463
8.18 7.74731e-06 680.203 75624.8 298.758
8.19 7.73264e-06 679.38 75932.4 299.044
8.2 7.71853e-06 678.584 76230.3 299.32
8.21 7.70501e-06 677.816 76518.3 299.586
8.22 7.69206e-06 677.076 76796.1 299.842
8.23 7.67968e-06 676.365 77063.7 300.087
8.24 7.66786e-06 675.683 77320.7 300.323
8.25 7.65661e-06 675.03 77567.1 300.548
8.26 7.64593e-06 674.407 77802.7 300.763
8.27 7.6358e-06 673.813 78027.2 300.967
8.28 7.62624e-06 673.25 78240.6 301.16
8.29 7.61723e-06 672.717 78442.6 301.343
8.3 7.60877e-06 672.216 78633.2 301.516
8.31 7.60087e-06 671.745 78812.2 301.677
8.32 7.59352e-06 671.305 78979.5 301.828
8.33 7.58673e-06 670.897 79134.8 301.967
8.34 7.58048e-06 670.521 79278.3 302.096
8.35 7.57477e-06 670.177 79409.6 302.214
8.36 7.56962e-06 669.865 79528.7 302.321
8.37 7.56501e-06 669.585 79635.5 302.416
8.38 7.56094e-06 669.338 79730 302.501
8.39 7.55742e-06 669.124 79812 302.574
8.4 7.55444e-06 668.942 79881.6 302.636
8.41 7.55201e-06 668.793 79938.5 302.687
8.42 7.55011e-06 668.677 79982.9 302.726
8.43 7.54876e-06 668.594 80014.6 302.754
8.44 7.54795e-06 668.545 80033.6 302.771
8.45 7.54768e-06 668.528 80040 302.777
8.46 7.5562e-06 669.05 79840.1 302.599
8.47 7.56473e-06 669.571 79641.2 302.421
8.48 7.57326e-06 670.09 79443.2 302.244
8.49 7.5818e-06 670.607 79246.1 302.067
8.5 7.59034e-06 671.122 79049.8 301.891
8.51 7.59889e-06 671.636 78854.4 301.715
8.52 7.60744e-06 672.148 78659.9 301.54
8.53 7.61599e-06 672.658 78466.3 301.365
8.54 7.62456e-06 673.166 78273.5 301.19
8.55 7.63312e-06 673.673 78081.6 301.016
8.56 7.64169e-06 674.178 77890.5 300.842
