[x[mm], Area[m], Velocity[m/s]],[Pressure[Pa], Temperature[K]]
0.276 7.65673e-05 31.4236 269943 403.125
0.277 7.65602e-05 31.4266 269942 403.125
0.278 7.65531e-05 31.4295 269942 403.125
0.279 7.6546e-05 31.4324 269942 403.125
0.28 7.6539e-05 31.4353 269942 403.125
0.281 7.65319e-05 31.4382 269941 403.125
0.282 7.65248e-05 31.4412 269941 403.125
0.283 7.65178e-05 31.4441 269941 403.125
0.284 7.65107e-05 31.447 269941 403.125
0.285 7.65037e-05 31.4499 269941 403.125
0.286 7.64966e-05 31.4528 269940 403.125
0.287 7.64895e-05 31.4558 269940 403.124
0.288 7.64825e-05 31.4587 269940 403.124
0.289 7.64754e-05 31.4616 269940 403.124
0.29 7.64683e-05 31.4645 269940 403.124
0.291 7.64613e-05 31.4674 269939 403.124
0.292 7.64542e-05 31.4704 269939 403.124
0.293 7.64472e-05 31.4733 269939 403.124
0.294 7.64401e-05 31.4762 269939 403.124
0.295 7.6433e-05 31.4791 269938 403.124
0.296 7.6426e-05 31.4821 269938 403.124
0.297 7.64189e-05 31.485 269938 403.124
0.298 7.64119e-05 31.4879 269938 403.123
0.299 7.64048e-05 31.4908 269938 403.123
0.3 7.63978e-05 31.4938 269937 403.123
0.301 7.63907e-05 31.4967 269937 403.123
0.302 7.63837e-05 31.4996 269937 403.123
0.303 7.63766e-05 31.5025 269937 403.123
0.304 7.63695e-05 31.5055 269937 403.123
0.305 7.63625e-05 31.5084 269936 403.123
0.306 7.63554e-05 31.5113 269936 403.123
0.307 7.63484e-05 31.5143 269936 403.123
0.308 7.63413e-05 31.5172 269936 403.123
0.309 7.63343e-05 31.5201 269935 403.122
0.31 7.63272e-05 31.523 269935 403.122
0.311 7.63202e-05 31.526 269935 403.122
0.312 7.63131e-05 31.5289 269935 403.122
0.313 7.63061e-05 31.5318 269935 403.122
0.314 7.6299e-05 31.5348 269934 403.122
0.315 7.6292e-05 31.5377 269934 403.122
0.316 7.6285e-05 31.5406 269934 403.122
0.317 7.62779e-05 31.5436 269934 403.122
0.318 7.62709e-05 31.5465 269934 403.122
0.319 7.62638e-05 31.5494 269933 403.122
0.32 7.62568e-05 31.5524 269933 403.121
0.321 7.62497e-05 31.5553 269933 403.121
0.322 7.62427e-05 31.5582 269933 403.121
0.323 7.62356e-05 31.5612 269932 403.121
0.324 7.62286e-05 31.5641 269932 403.121
0.325 7.62216e-05 31.567 269932 403.121
0.326 7.62145e-05 31.57 269932 403.121
0.327 7.62075e-05 31.5729 269932 403.121
0.328 7.62004e-05 31.5758 269931 403.121
0.329 7.61934e-05 31.5788 269931 403.121
0.33 7.61864e-05 31.5817 269931 403.121
0.331 7.61793e-05 31.5846 269931 403.12
0.332 7.61723e-05 31.5876 269930 403.12
0.333 7.61652e-05 31.5905 269930 403.12
0.334 7.61582e-05 31.5934 269930 403.12
0.335 7.61512e-05 31.5964 269930 403.12
0.336 7.61441e-05 31.5993 269930 403.12
0.337 7.61371e-05 31.6022 269929 403.12
0.338 7.61301e-05 31.6052 269929 403.12
0.339 7.6123e-05 31.6081 269929 403.12
0.34 7.6116e-05 31.6111 269929 403.12
0.341 7.6109e-05 31.614 269929 403.12
0.342 7.61019e-05 31.6169 269928 403.119
0.343 7.60949e-05 31.6199 269928 403.119
0.344 7.60879e-05 31.6228 269928 403.119
0.345 7.60809e-05 31.6258 269928 403.119
0.346 7.60738e-05 31.6287 269927 403.119
0.347 7.60668e-05 31.6316 269927 403.119
0.348 7.60598e-05 31.6346 269927 403.119
0.349 7.60527e-05 31.6375 269927 403.119
0.35 7.60457e-05 31.6405 269927 403.119
0.351 7.60387e-05 31.6434 269926 403.119
0.352 7.60317e-05 31.6463 269926 403.118
0.353 7.60246e-05 31.6493 269926 403.118
0.354 7.60176e-05 31.6522 269926 403.118
0.355 7.60106e-05 31.6552 269926 403.118
0.356 7.60036e-05 31.6581 269925 403.118
0.357 7.59965e-05 31.6611 269925 403.118
0.358 7.59895e-05 31.664 269925 403.118
0.359 7.59825e-05 31.6669 269925 403.118
